1012_133424_000001_000000  [
  0.1729627 265.7313 
  0.3128382 265.7313 
  -0.1499106 265.7313 
  -0.03304429 265.7313 
  0.4042605 265.7313 
  0.6784459 265.7313 
  0.6090277 267.06 
  0.281363 268.3953 
  0.7830566 271.0859 
  0.8936952 264.4093 
  0.9026395 259.1866 
  0.9368567 255.3373 
  0.961071 252.8029 
  0.9820057 255.3373 
  0.9743292 257.8971 
  0.9542202 261.7849 
  0.9729189 267.06 
  0.9785458 268.3953 
  0.9537663 267.06 
  0.9443553 264.4093 
  0.8557798 265.7313 
  0.8619691 267.06 
  0.9265753 267.06 
  0.8899573 267.06 
  0.8179528 268.3953 
  0.5019679 269.7372 
  0.1434438 272.4414 
  0.02032394 275.1726 
  -0.07258367 277.9312 
  0.1509316 280.7175 
  0.1364828 283.5317 
  -0.1151787 287.806 
  0.3574362 292.1447 
  0.8056911 295.0734 
  0.8834691 296.5488 
  0.9718097 293.6054 
  0.967816 289.245 
  0.9736179 284.9493 
  0.9845334 280.7175 
  0.9899299 276.5485 
  0.9926769 273.8036 
  0.9915817 269.7372 
  0.9950353 267.06 
  0.9882029 264.4093 
  0.9882162 260.4825 
  0.9725494 255.3373 
  0.943284 251.5452 
  0.8749518 244.1292 
  0.7587272 235.753 
  0.5879159 227.6642 
  0.5526751 215.5104 
  0.7307716 207.0808 
  0.8778248 201.9805 
  0.9055702 197.0059 
  0.920664 194.0801 
  0.9584131 192.1537 
  0.8959855 193.1145 
  0.598248 193.1145 
  0.1123904 191.1978 
  0.01641031 191.1978 
  0.3305202 192.1537 
  0.6058047 192.1537 
  0.5007743 192.1537 
  0.2488881 191.1978 
  0.2943077 190.2465 
  0.2222226 189.3 
  -0.08651786 188.3582 
  -0.1315778 187.4211 
  0.1721318 186.4887 
  0.03375524 186.4887 
  -0.2374031 186.4887 
  -0.2474031 186.4887 
  -0.3221437 186.4887 
  -0.2126724 186.4887 
  -0.04481488 187.4211 
  -0.02705844 188.3582 
  -0.01279521 189.3 
  -0.08334732 190.2465 
  -0.1733645 191.1978 
  -0.01465286 192.1537 
  -0.08140451 193.1145 
  -0.01708823 194.0801 
  0.01486304 195.0505 
  -0.04969467 196.0257 
  0.1318885 197.0059 
  0.1095689 197.9909 
  0.2676774 198.9809 
  0.4699094 199.9758 
  0.7606089 200.9756 
  0.9063668 201.9805 
  0.9472159 202.9904 
  0.9669889 201.9805 
  0.9907442 200.9756 
  0.9916098 199.9758 
  0.9925406 199.9758 
  0.9892049 199.9758 
  0.9786134 204.0054 
  0.89174 212.3098 
  0.9130227 217.6709 
  0.933166 218.7592 
  0.9414024 213.3714 
  0.9177688 207.0808 
  0.964615 204.0054 
  0.9819776 202.9904 
  0.9918377 202.9904 
  0.9936172 202.9904 
  0.9958453 202.9904 
  0.9974164 204.0054 
  0.9970431 205.0254 
  0.9965705 205.0254 
  0.9967967 206.0505 
  0.9685045 208.1162 
  0.6550469 213.3714 
  0.6056996 213.3714 
  0.741583 209.1568 
  0.9672529 210.2025 
  0.9753329 211.2535 
  0.9885747 211.2535 
  0.9902855 212.3098 
  0.9836953 214.4382 
  0.98211 216.5879 
  0.9873409 218.7592 
  0.9879999 219.853 
  0.9201827 219.853 
  0.8681903 220.9523 
  0.8727363 220.9523 
  0.9887038 220.9523 
  0.9951857 222.057 
  0.9945912 220.9523 
  0.9931229 220.9523 
  0.9930269 222.057 
  0.9293362 227.6642 
  0.944174 229.9466 
  0.9634991 228.8026 
  0.996401 226.5316 
  0.9978647 226.5316 
  0.9966071 224.2832 
  0.9950999 223.1673 
  0.9957407 222.057 
  0.9972625 223.1673 
  0.9959072 224.2832 
  0.9949452 225.4046 
  0.9953676 227.6642 
  0.9771295 229.9466 
  0.9463689 231.0963 
  0.8217923 229.9466 
  0.9516513 218.7592 
  0.9822196 213.3714 
  0.9825557 212.3098 
  0.9683139 211.2535 
  0.9543576 210.2025 
  0.9356238 209.1568 
  0.9281586 209.1568 
  0.7784575 209.1568 
  0.5735964 209.1568 
  0.1585421 209.1568 
  -0.2377922 209.1568 
  0.03609027 209.1568 
  0.1290412 209.1568 
  0.102885 210.2025 
  0.2367696 211.2535 
  0.685913 211.2535 
  0.784524 208.1162 
  0.9447445 205.0254 
  0.9934411 202.9904 
  0.9706232 204.0054 
  0.9597599 206.0505 
  0.9623512 207.0808 
  0.956665 206.0505 
  0.9654431 204.0054 
  0.9574082 202.9904 
  0.9486819 201.9805 
  0.91594 198.9809 
  0.9617891 194.0801 
  0.9783739 192.1537 
  0.9768068 190.2465 
  0.9741983 188.3582 
  0.9554091 186.4887 
  0.9239772 185.5609 
  0.7690326 185.5609 
  0.8546529 187.4211 
  0.9290846 190.2465 
  0.9809439 192.1537 
  0.9877344 192.1537 
  0.9909574 192.1537 
  0.9939396 192.1537 
  0.9928011 190.2465 
  0.9911762 188.3582 
  0.9833757 185.5609 
  0.9814093 184.6377 
  0.9762613 182.8051 
  0.9846622 180.9906 
  0.9817228 180.0902 
  0.9739517 179.1942 
  0.917015 177.4156 
  0.8923042 174.7808 
  0.9137352 173.046 
  0.8642903 172.185 
  0.8511422 170.476 
  0.9277282 169.6279 
  0.9349972 168.784 
  0.9132507 167.9442 
  0.9179983 167.9442 
  0.9510479 167.9442 
  0.9404148 167.9442 
  0.9229785 167.9442 
  0.8711268 167.9442 
  0.8516246 168.784 
  0.8449327 169.6279 
  0.7471606 169.6279 
  0.7246836 169.6279 ]
